id,date,publication,title,url,link,image,type,language,person_or_company,source,thread_id,attachment_note,confidence,hidden,pub_rank,notes
2013-08-techcrunch-lima-chromecast-kickstarter-top10,2013-08-15,TechCrunch,"Dropbox Alternative Lima (Née Plug) Works With Chromecast, Breaks Into Kickstarter Tech Top 10",https://techcrunch.com/2013/08/15/dropbox-alternative-lima-nee-plug-works-with-chromecast-breaks-into-kickstarter-tech-top-10/,https://techcrunch.com/2013/08/15/dropbox-alternative-lima-nee-plug-works-with-chromecast-breaks-into-kickstarter-tech-top-10/,https://techcrunch.com/wp-content/uploads/2013/07/plug-kickstarter.jpg,online,en,lima,web-search,,,confirmed,false,2,"Covers Lima (rebranded from 'Plug') Kickstarter surge past $69k goal to $858k, 10th most-funded tech project at the time; quotes CEO Severin Marcombes on Chromecast streaming feature."
2013-09-crowdfundinsider-lima-brain-of-your-devices-top35,2013-09-13,Crowdfund Insider,Lima: The Brain Of Your Devices,https://www.crowdfundinsider.com/2013/09/22637-ranked-the-50-biggest-kickstarters-of-all-time/,https://www.crowdfundinsider.com/2013/09/22637-ranked-the-50-biggest-kickstarters-of-all-time/,https://www.crowdfundinsider.com/wp-content/uploads/2013/05/kickstarter-k.jpg,online,en,lima,web-search,,,confirmed,false,6,"'50 Biggest Kickstarter Campaigns Of All Time' ranking piece; lists Lima at roughly #35 with $1,229,074 raised, framed as part of the smart-home-device wave on Kickstarter."
2013-09-maddyness-lima-temoignage-marcombes,2013-09-30,Maddyness,"[Témoignage] ""Lima n'est pas seulement un projet Kickstarter"" Séverin Marcombes, CEO de Lima",https://www.maddyness.com/2013/09/30/lima-severin-marcombes/,https://www.maddyness.com/2013/09/30/lima-severin-marcombes/,https://www.maddyness.com/app/uploads/2013/07/meetplug.jpg,online,fr,severin-marcombes;lima,web-search,,,confirmed,false,13,Interview two days after the Kickstarter campaign closed at 17x its goal (6th-biggest tech project on Kickstarter); Marcombes explains why he targeted the US market.
2014-06-journaldunet-lima-levee-fonds,2014-06,Journal du Net,Lima (Cloud Guys Corporation) - levée de fonds,http://www.journaldunet.com/web-tech/start-up/lima-cloud-guys-corporation-levee-de-fonds-0614.shtml,http://www.journaldunet.com/web-tech/start-up/lima-cloud-guys-corporation-levee-de-fonds-0614.shtml,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-pressecitron-lima-levee-fonds,2014-06,Presse Citron,Lima/Partech Ventures dans les coulisses d'une levée de fonds de 2.5 millions de dollars,http://www.presse-citron.net/limapartech-ventures-dans-les-coulisses-dune-levee-de-fonds-de-25-millions-de-dollars/,http://www.presse-citron.net/limapartech-ventures-dans-les-coulisses-dune-levee-de-fonds-de-25-millions-de-dollars/,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-itespresso-lima-levee-fonds,2014-06,ITespresso,Financement: comment Lima a mixé crowdfunding et capital-risque,http://www.itespresso.fr/financement-comment-lima-crowdfunding-capital-risque-76030.html,http://www.itespresso.fr/financement-comment-lima-crowdfunding-capital-risque-76030.html,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-01net-lima-levee-fonds,2014-06,01net,Stockage: la start-up Lima lève 2.5 millions de dollars,http://pro.01net.com/editorial/621134/stockage-la-start-up-lima-leve-2-5-millions-de-dollars/,http://pro.01net.com/editorial/621134/stockage-la-start-up-lima-leve-2-5-millions-de-dollars/,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-itrmanager-lima-levee-fonds,2014-06,ITR Manager,Lima Technologie rend données accessibles partout,http://www.itrmanager.com/articles/148649/lima-technologie-rend-donnees-accessibles-partout-importe-terminal.html,http://www.itrmanager.com/articles/148649/lima-technologie-rend-donnees-accessibles-partout-importe-terminal.html,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-nouvellesfrance-lima-levee-fonds,2014-06,Nouvelles-France,Lima lève 2.5 millions de dollars pour unifier la mémoire des devices,http://nouvelles3.com/nouvelles/lima-leve-25-millions-de-dollars-pour-unifier-la-memoire-des-devices-journal-du-net,http://nouvelles3.com/nouvelles/lima-leve-25-millions-de-dollars-pour-unifier-la-memoire-des-devices-journal-du-net,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-geekoide-lima-levee-fonds,2014-06,Geekoide,Lima (ex-ForgetBox) lève 2.5 millions pour son cloud personnel,http://www.geekoide.fr/actualites/lima-exforgetbox-leve-25-millions-pour-son-cloud-personnel,http://www.geekoide.fr/actualites/lima-exforgetbox-leve-25-millions-pour-son-cloud-personnel,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
