id,date,publication,title,url,type,language,person_or_company,source,thread_id,attachment_note,confidence,notes
2014-06-lefigaro-lima-levee-fonds,2014-06-04,Le Figaro,Lima rassemble la mémoire des objets connectés,http://www.lefigaro.fr/secteur/high-tech/2014/06/04/01007-20140604ARTFIG00370-lima-rassemble-la-memoire-des-objets-connectes.php,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-clubic-lima-levee-fonds,2014-06-04,Clubic,Lima (ex-ForgetBox) lève 2.5M pour son cloud personnel,http://pro.clubic.com/actualite-e-business/investissement/actualite-707251-lima-ex-forgetbox-leve-2-5-cloud-personnel.html,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-maddyness-lima-levee-fonds,2014-06-04,Maddyness,Finance: Lima lève 2.5 millions de Partech Ventures,http://www.maddyness.com/finance/2014/06/04/finance-lima-levee-25-millions-de-partech-ventures/,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-journaldunet-lima-levee-fonds,2014-06,Journal du Net,Lima (Cloud Guys Corporation) - levée de fonds,http://www.journaldunet.com/web-tech/start-up/lima-cloud-guys-corporation-levee-de-fonds-0614.shtml,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-pressecitron-lima-levee-fonds,2014-06,Presse Citron,Lima/Partech Ventures dans les coulisses d'une levée de fonds de 2.5 millions de dollars,http://www.presse-citron.net/limapartech-ventures-dans-les-coulisses-dune-levee-de-fonds-de-25-millions-de-dollars/,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-itespresso-lima-levee-fonds,2014-06,ITespresso,Financement: comment Lima a mixé crowdfunding et capital-risque,http://www.itespresso.fr/financement-comment-lima-crowdfunding-capital-risque-76030.html,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-frenchweb-lima-levee-fonds,2014-06,FrenchWeb,Home-serveur: le français Lima lève 2.5 millions de dollars auprès de Partech,http://frenchweb.fr/home-serveur-le-francais-lima-leve-25-millions-de-dollars-aupres-de-partech/154990,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-01net-lima-levee-fonds,2014-06,01net,Stockage: la start-up Lima lève 2.5 millions de dollars,http://pro.01net.com/editorial/621134/stockage-la-start-up-lima-leve-2-5-millions-de-dollars/,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-itrmanager-lima-levee-fonds,2014-06,ITR Manager,Lima Technologie rend données accessibles partout,http://www.itrmanager.com/articles/148649/lima-technologie-rend-donnees-accessibles-partout-importe-terminal.html,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-nouvellesfrance-lima-levee-fonds,2014-06,Nouvelles-France,Lima lève 2.5 millions de dollars pour unifier la mémoire des devices,http://nouvelles3.com/nouvelles/lima-leve-25-millions-de-dollars-pour-unifier-la-memoire-des-devices-journal-du-net,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-geekoide-lima-levee-fonds,2014-06,Geekoide,Lima (ex-ForgetBox) lève 2.5 millions pour son cloud personnel,http://www.geekoide.fr/actualites/lima-exforgetbox-leve-25-millions-pour-son-cloud-personnel,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-zonenumerique-lima-levee-fonds-1,2014-06,Zone Numerique,Lima développe un boîtier connecté qui rassemble la mémoire des devices,http://www.zone-numerique.com/lima-developpe-un-boitier-connecte-qui-rassemble-la-memoire-des-devices.html,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-zonenumerique-lima-levee-fonds-2,2014-06,Zone Numerique,Stockage cloud privé: Lima lève 2.5 millions de dollars,http://www.zone-numerique.com/stockage-cloud-prive-lima-leve-2-5-millions-de-dollars.html,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Second distinct article same outlet same roundup
2014-06-rudebaguette-lima-levee-fonds,2014-06-04,Rude Baguette,France's biggest Kickstarter success Lima raises 2.5M Series from Partech Ventures,http://www.rudebaguette.com/2014/06/04/frances-biggest-kickstarter-success-lima-raises-2-5m-series-partech-ventures/,online,en,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-lesnouveautes-lima-levee-fonds,2014-06,Lesnouveautes.fr,Lima lève 2.5 millions de dollars pour unifier la mémoire des devices,http://lesnouveautes.fr/nouvelles/lima-leve-25-millions-de-dollars-pour-unifier-la-memoire-des-devices,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-netstream-lima-levee-fonds,2014-06,Netstream.fr,Lima lève 2.5 millions de dollars pour unifier la mémoire des devices,http://www.net-stream.fr/Net/Business-du-Net/Lima-leve-2-5-millions-de-dollars-pour-unifier-la-memoire-des-devices_21_202__318064.html,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-secuobs-lima-levee-fonds,2014-06,Secuobs.com,Lima levée de fonds (revue de presse),http://www.secuobs.com/revue/news/517253.shtml,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-linformatique-org-lima-levee-fonds,2014-06,LInformatique.org,Bientôt une solution pour pouvoir se créer un système de stockage en ligne privé,http://www.linformatique.org/bientot-solution-pouvoir-se-creer-systeme-stockage-en-ligne-prive/,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-infosmobiles-lima-levee-fonds,2014-06,Infos Mobiles,Lima: Dropbox personnel en connectant vos vieux disques durs,http://www.infos-mobiles.com/lima/lima-dropbox-personnel-en-connectant-vos-vieux-disques-durs/67357,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-goodmorningcrowdfunding-lima-levee-fonds,2014-06,Good Morning Crowdfunding,Levée de fonds: la start-up Lima lève 2.5M de dollars auprès de Partech Ventures,http://www.goodmorningcrowdfunding.com/levee-de-fonds-la-start-up-lima-leve-25m-de-dollars-aupres-de-partech-ventures/,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,Funding round announcement roundup
2014-06-eclairagecommerce-lima-levee-fonds,2014-06,Eclairage Commerce,Lima levée de fonds (syndication Clubic),,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,mentioned,"Funding round announcement, syndicated Clubic content. Original URL was corrupted in extraction (fragment: eclairageprofessionnel.fr/@Clubic-...) and could not be reliably reconstructed; needs manual lookup before publishing."
