id,date,publication,title,url,type,language,person_or_company,source,thread_id,attachment_note,confidence,notes
2013-08-techcrunch-lima-chromecast-kickstarter-top10,2013-08-15,TechCrunch,"Dropbox Alternative Lima (Née Plug) Works With Chromecast, Breaks Into Kickstarter Tech Top 10",https://techcrunch.com/2013/08/15/dropbox-alternative-lima-nee-plug-works-with-chromecast-breaks-into-kickstarter-tech-top-10/,online,en,lima,web-search,,,confirmed,"Covers Lima (rebranded from 'Plug') Kickstarter surge past $69k goal to $858k, 10th most-funded tech project at the time; quotes CEO Severin Marcombes on Chromecast streaming feature."
2013-09-maddyness-lima-temoignage-marcombes,2013-09-30,Maddyness,"[Témoignage] ""Lima n'est pas seulement un projet Kickstarter"" Séverin Marcombes, CEO de Lima",https://www.maddyness.com/2013/09/30/lima-severin-marcombes/,online,fr,severin-marcombes;lima,web-search,,,confirmed,"Interview two days after the Kickstarter campaign closed at 17x its goal (6th-biggest tech project on Kickstarter); Marcombes explains why he targeted the US market."
2013-09-crowdfundinsider-lima-brain-of-your-devices-top35,2013-09-13,Crowdfund Insider,"Lima: The Brain Of Your Devices",https://www.crowdfundinsider.com/2013/09/22637-ranked-the-50-biggest-kickstarters-of-all-time/,online,en,lima,web-search,,,confirmed,"'50 Biggest Kickstarter Campaigns Of All Time' ranking piece; lists Lima at roughly #35 with $1,229,074 raised, framed as part of the smart-home-device wave on Kickstarter."
2013-06-3dvf-futur-en-seine-palmares-lima-or,2014-06-25,3DVF,"Futur en Seine : le palmarès",https://3dvf.com/actualite-10004-futur-en-seine-palmares-html/,online,fr,lima,web-search,,,confirmed,"Lists Lima as gold-medal Jury Prize winner at Futur en Seine 2014 (festival ran June 12-22, 2014); described as the box unifying memory across a user's devices."
2014-06-techcrunch-lima-raises-2point5-million-partech,2014-06-04,TechCrunch,"Lima Raises $2.5 Million For Its Personal, Subscription-Free Dropbox",https://techcrunch.com/2014/06/04/lima-raises-2-5-million-for-its-personal-subscription-free-dropbox/,online,en,lima,web-search,,,confirmed,"Covers the Partech Ventures Series A; quotes Marcombes: 'We are now producing 17,000 devices instead of 1,000 as we initially expected.'"
2014-06-frenchweb-lima-leve-2point5-millions-partech,2014-06-05,FrenchWeb,"Cloud personnel : le Français Lima lève 2,5 millions de dollars auprès de Partech",https://www.frenchweb.fr/home-serveur-le-francais-lima-leve-25-millions-de-dollars-aupres-de-partech/154990,online,fr,lima;severin-marcombes,web-search,,,confirmed,"French-language coverage of the same Partech Ventures $2.5M round; quotes Marcombes on allocating resources to product development ahead of global launch."
2014-06-usine-digitale-lima-leve-2point5-millions,2014-06-05,Usine Digitale,"Lima lève 2,5 millions de dollars pour lancer sa commercialisation",https://www.usine-digitale.fr/editorial/lima-leve-2-5-millions-de-dollars-pour-lancer-sa-commercialisation.N267137,online,fr,lima,web-search,,,mentioned,"WebFetch returned HTTP 403 (paywall/bot block) so page text could not be directly verified; search snippet corroborates Partech round and team of 16 (8 in dev)."
2014-11-businesswire-lima-ces-2015-innovation-award,2014-11-11,Business Wire,Lima named as 2015 CES Innovation Awards Honoree in two categories,https://www.businesswire.com/news/home/20141111006312/en/Lima-named-as-2015-CES-Innovation-Awards-Honoree-in-two-categories,online,en,lima,web-search,,,mentioned,"WebFetch returned HTTP 403; search snippet confirms Lima named CES 2015 Innovation Award Honoree in Software & Mobile Apps and Computer Accessories categories."
2015-01-techcrunch-lima-mobile-app-ces,2015-01-04,TechCrunch,Lima Showcases Its Mobile App For Its Dropbox Alternative,https://techcrunch.com/2015/01/04/lima-showcases-its-mobile-app-for-its-dropbox-alternative/,online,en,lima,web-search,,,confirmed,"Covers Lima's CES mobile-app demo; notes $1.2M Kickstarter plus $2.5M VC raised; quotes on how Lima syncs existing device folders rather than a dedicated 'Lima' folder."
2015-02-sodigital-severin-marcombes-suite-dans-les-idees,2015-02-12,So Digital,"Séverin Marcombes, fondateur de Lima: de la suite dans les idées",https://sodigital.fr/severin-marcombes-lima-2/,online,fr,severin-marcombes;lima,web-search,,,confirmed,"Founder profile; covers early inspiration at 13, Futur en Seine 2014 Jury Prize + two CES awards, 30,000 users by summer 2015 (45% over 55), and responds to backer-delay/fraud accusations."
2015-04-frenchweb-mit-technology-review-innovators-marcombes,2015-04-16,FrenchWeb,[Vidéos] Deux talents français qui ont tapé dans l'oeil du « MIT Technology Review »,https://www.frenchweb.fr/2-talents-francais-qui-ont-tape-dans-loeil-du-mit-technology-review/191055,online,fr,severin-marcombes;lima,web-search,,,confirmed,"Names Marcombes among the 10 French finalists for MIT Technology Review Innovators Under 35 (France), for his cloud-free cross-device storage system."
2015-05-crowdfundinsider-lima-1000th-device-delay,2015-05-23,Crowdfund Insider,Lima Delivers 1000th Device. Backers Grumble About Extensive Delay,https://www.crowdfundinsider.com/2015/05/68225-lima-delivers-1000th-device-backers-grumble-about-extensive-delay/,online,en,lima,web-search,,,confirmed,"Covers 1000th unit shipped, 18 months late; notes CES recognition and $2.5M Series A alongside backer frustration over delays."
